fon_kodu;kategoriler
GAE;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
GAF;Hisse Senedi Yoğun, Yerli Hisse
GAG;Döviz Fon
GAH;Mutlak Getiri Hedefli
GAJ;Döviz Fon
GAL;Para Piyasası
GAS;Döviz Fon
GAU;Döviz Fon
GAV;Döviz Fon
GBC;Yabancı Fonlar, Yabancı Hisse
GBG;Yabancı Fonlar, Yabancı Hisse
GBH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
GBJ;Bankacılık, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
GBL;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
GBN;K.D.
GBP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GBV;Blockchain, Teknoloji, Tematik
GBZ;Emtia Fonları
GCA;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GCC;Serbest Özel Fonlar, Özel Fon
GCD;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
GCI;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GCZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GDJ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GDP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GEC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GEZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GFB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GFD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GFI;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GFL;Serbest Özel Fonlar, Özel Fon
GFN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GFY;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GGA;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GGC;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
GGD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GGK;Altın Fonları, Emtia Fonları
GGM;Serbest Özel Fonlar, Özel Fon
GGN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
